user_id,content_id,watch_date,watch_duration,device_type
U0673,C0442,2021-07-18,28,Mobile
U0775,C0411,2024-05-06,84,Desktop
U0226,C0120,2021-05-11,81,Smart TV
U0086,C0282,2021-11-30,79,Desktop
U0653,C0184,2024-06-06,79,Smart TV
U0576,C0483,2023-05-02,5,Mobile
U0092,C0480,2024-06-25,59,Smart TV
U0854,C0101,2022-12-20,43,Tablet
U0016,C0319,2022-10-13,129,Mobile
U0127,C0116,2022-01-06,17,Laptop
U0839,C0426,2024-01-21,60,Smart TV
U0259,C0490,2022-03-22,49,Smart TV
U0265,C0151,2023-10-27,113,Tablet
U0423,C0234,2022-07-11,53,Laptop
U0066,C0014,2022-08-20,121,Laptop
U0998,C0435,2022-01-26,44,Desktop
U0103,C0070,2022-04-07,41,Laptop
U0156,C0107,2022-12-31,77,Laptop
U0363,C0130,2021-07-27,109,Laptop
U0611,C0287,2022-08-28,82,Laptop
U0316,C0457,2022-06-26,72,Laptop
U0165,C0268,2023-05-08,41,Mobile
U0144,C0456,2020-06-06,82,Tablet
U0699,C0063,2022-04-04,61,Laptop
U0081,C0223,2024-01-03,53,Tablet
U0649,C0089,2023-06-20,79,Laptop
U0754,C0477,2023-08-11,10,Tablet
U0713,C0371,2024-04-02,61,Laptop
U0483,C0456,2022-12-20,67,Mobile
U0235,C0062,2022-12-25,50,Mobile
U0494,C0167,2023-08-14,30,Desktop
U0160,C0170,2023-12-15,70,Mobile
U0674,C0267,2022-10-15,52,Mobile
U0027,C0158,2023-02-03,82,Desktop
U0868,C0057,2024-01-14,76,Laptop
U0479,C0288,2023-03-20,10,Smart TV
U0200,C0462,2022-10-25,51,Smart TV
U0635,C0252,2021-05-29,26,Smart TV
U0777,C0351,2022-11-16,68,Laptop
U0555,C0142,2023-01-25,24,Tablet
U0580,C0154,2024-06-10,5,Desktop
U0457,C0267,2024-02-15,63,Smart TV
U0311,C0286,2024-03-01,13,Mobile
U0388,C0330,2021-10-20,56,Desktop
U0039,C0139,2022-11-01,23,Desktop
U0395,C0177,2023-08-09,21,Desktop
U0810,C0404,2020-09-26,84,Smart TV
U0024,C0268,2023-03-15,11,Laptop
U0858,C0268,2022-10-29,29,Desktop
U0292,C0077,2022-05-19,24,Smart TV
U0109,C0417,2024-06-20,42,Mobile
U0195,C0033,2024-02-05,36,Laptop
U0983,C0129,2021-08-17,41,Mobile
U0700,C0163,2023-11-04,13,Tablet
U0153,C0330,2024-01-03,2,Desktop
U0590,C0199,2023-10-17,7,Laptop
U0585,C0496,2023-11-03,90,Laptop
U0775,C0363,2024-06-01,36,Mobile
U0519,C0318,2024-01-30,61,Desktop
U0196,C0465,2023-12-04,80,Smart TV
U0713,C0390,2024-05-08,67,Laptop
U0653,C0218,2024-03-11,44,Smart TV
U0323,C0068,2021-10-13,76,Smart TV
U0326,C0488,2023-03-30,41,Desktop
U0082,C0211,2023-11-09,58,Tablet
U0123,C0434,2024-04-08,72,Laptop
U0349,C0184,2022-12-15,50,Tablet
U0781,C0108,2022-02-11,87,Tablet
U0991,C0034,2023-07-25,22,Desktop
U0765,C0306,2023-04-30,82,Laptop
U0812,C0047,2023-05-15,103,Smart TV
U0636,C0266,2024-01-26,49,Mobile
U0920,C0021,2022-03-14,59,Smart TV
U0856,C0429,2020-12-01,43,Mobile
U0578,C0018,2023-11-01,97,Laptop
U0182,C0143,2022-07-01,72,Smart TV
U0472,C0233,2023-02-11,59,Smart TV
U0902,C0002,2023-03-04,62,Tablet
U0366,C0115,2022-01-11,100,Tablet
U0955,C0439,2021-06-24,36,Laptop
U0183,C0201,2022-09-05,48,Mobile
U0216,C0128,2023-01-24,58,Desktop
U0301,C0405,2024-05-27,21,Smart TV
U0551,C0095,2024-01-24,49,Laptop
U0799,C0260,2022-07-01,37,Desktop
U0828,C0360,2023-03-31,56,Tablet
U0501,C0034,2023-02-04,22,Desktop
U0603,C0334,2021-11-28,102,Smart TV
U0138,C0126,2022-06-29,19,Desktop
U0293,C0486,2022-10-26,64,Desktop
U0514,C0343,2023-06-19,64,Mobile
U0367,C0308,2024-04-02,86,Desktop
U0655,C0138,2024-05-31,89,Laptop
U0931,C0472,2022-04-03,70,Smart TV
U0184,C0095,2024-03-06,0,Laptop
U0134,C0165,2022-07-08,64,Mobile
U0654,C0305,2021-05-07,96,Tablet
U0107,C0428,2023-03-22,12,Smart TV
U0530,C0069,2022-09-20,27,Mobile
U0372,C0241,2022-04-13,65,Mobile
U0667,C0150,2023-09-01,31,Mobile
U0968,C0121,2024-05-26,86,Tablet
U0644,C0136,2024-05-21,86,Tablet
U0843,C0011,2021-11-18,36,Tablet
U0939,C0463,2024-03-22,71,Laptop
U0991,C0321,2024-06-10,97,Laptop
U0012,C0074,2020-06-01,57,Smart TV
U0402,C0454,2021-11-01,59,Mobile
U0234,C0349,2023-11-14,106,Smart TV
U0515,C0258,2022-01-29,80,Desktop
U0235,C0153,2022-11-27,31,Laptop
